"id","female","age","demcand","educ","ftobama","liberal","candideol","candgen"
464,0,27,1,2,94,1,53,1
466,0,71,3,3,99,4,63,0
469,0,55,1,2,100,3,53,1
470,1,32,3,4,96,3,63,0
474,1,30,3,2,3,1,63,0
475,0,65,1,4,3,3,53,1
477,1,74,2,1,2,1,25,0
478,1,55,2,2,100,5,25,0
480,0,42,1,2,82,4,53,1
481,0,64,3,3,100,4,63,0
482,1,39,1,2,54,4,53,1
483,1,75,1,2,99,5,53,1
485,1,48,1,3,63,2,53,1
486,0,59,2,2,20,2,25,0
487,1,57,1,5,98,3,53,1
489,0,67,1,2,100,4,53,1
491,0,65,3,2,90,3,63,0
494,1,43,1,3,70,3,53,1
495,1,71,1,2,15,3,53,1
497,1,31,3,5,89,5,63,0
498,1,78,1,2,100,5,53,1
499,0,58,1,5,100,3,53,1
500,1,60,3,5,69,5,63,0
502,1,39,1,4,100,3,53,1
503,0,56,1,4,98,5,53,1
505,1,78,1,3,3,3,53,1
506,0,67,1,6,94,3,53,1
508,0,36,3,1,68,4,63,0
509,1,42,1,2,50,2,53,1
512,1,83,2,2,87,2,25,0
515,0,52,2,4,0,1,25,0
516,0,57,2,2,7,2,25,0
518,0,62,2,6,71,5,25,0
520,0,57,1,3,37,2,53,1
523,0,61,1,2,100,4,53,1
525,1,76,1,1,98,5,53,1
526,1,53,1,5,59,4,53,1
528,1,33,3,4,100,5,63,0
529,1,70,1,2,86,4,53,1
530,1,67,2,5,19,3,25,0
534,1,44,2,2,95,3,25,0
536,1,41,2,6,9,1,25,0
537,0,78,1,2,100,4,53,1
539,0,37,3,6,71,3,63,0
540,0,26,3,2,28,3,63,0
542,1,56,3,3,99,5,63,0
543,1,61,1,2,88,4,53,1
546,0,60,1,5,99,4,53,1
548,0,42,2,2,6,3,25,0
549,1,53,1,3,100,3,53,1
550,0,68,3,2,30,3,63,0
551,1,24,3,3,60,4,63,0
552,0,57,1,2,59,2,53,1
554,0,61,3,5,100,4,63,0
555,0,64,1,2,100,4,53,1
557,1,58,1,2,16,3,53,1
558,1,61,3,2,11,3,63,0
559,0,33,3,5,94,5,63,0
560,1,25,3,5,11,4,63,0
561,0,36,1,6,81,3,53,1
562,0,34,1,4,80,4,53,1
563,0,80,2,2,6,3,25,0
564,0,86,3,5,5,3,63,0
565,1,75,1,6,100,4,53,1
566,1,60,3,4,16,3,63,0
567,1,32,3,2,40,2,63,0
569,0,24,1,2,60,5,53,1
573,1,48,1,2,100,3,53,1
574,0,23,3,2,31,3,63,0
575,1,44,1,2,100,4,53,1
576,1,44,3,5,72,4,63,0
581,0,27,3,4,70,5,63,0
585,1,44,1,1,83,3,53,1
586,0,60,3,5,91,5,63,0
587,1,70,1,2,95,4,53,1
