"mig_exp_revcod","emp","mig_visas","democrat","republican","white","black","hispanic","unemp_cpm","edu","female","inc","age"
5,1,2,0,1,1,0,0,0,3,1,3,65
6,1,5,0,0,1,0,0,0,2,1,4,28
4,0,3,1,0,1,0,0,0,2,1,4,62
5,1,3,1,0,0,0,0,0,4,1,3,25
1,0,5,0,1,0,1,0,0,3,0,1,20
5,0,4,1,0,1,0,0,0,3,1,3,61
1,0,5,0,1,1,0,0,0,5,1,2,58
5,0,3,1,0,0,0,0,0,4,1,12,78
4,0,4,0,0,1,0,0,0,4,1,3,67
1,0,5,0,1,1,0,0,0,5,0,12,42
7,0,1,1,0,1,0,0,0,2,1,3,78
3,1,4,0,0,1,0,0,0,3,1,4,39
5,0,3,0,1,1,0,0,0,5,1,6,66
7,0,2,1,0,0,0,0,0,6,1,4,41
7,0,1,1,0,1,0,0,0,3,1,5,59
5,0,2,0,0,0,0,0,0,6,0,13,60
4,0,3,0,0,1,0,0,0,2,1,1,35
6,0,2,1,0,1,0,0,0,5,0,12,69
6,0,3,0,1,1,0,0,0,3,1,6,22
5,0,4,0,0,1,0,0,0,2,1,5,66
4,0,3,0,0,1,0,0,0,3,1,3,78
4,1,3,1,0,0,1,0,0,3,1,4,56
6,1,2,0,1,1,0,0,0,4,1,7,58
7,0,3,0,0,0,0,0,0,5,1,5,47
3,0,4,0,1,1,0,0,0,5,1,5,66
4,0,4,0,0,1,0,0,0,3,1,2,27
2,1,5,0,0,1,0,0,0,3,1,5,27
7,0,1,1,0,0,0,0,0,2,1,1,36
4,1,3,0,0,1,0,0,0,3,0,6,33
6,0,3,0,1,1,0,0,0,2,1,5,28
6,0,2,1,0,1,0,0,0,4,0,3,73
4,0,5,0,1,1,0,0,0,5,1,4,56
3,0,4,0,1,1,0,0,0,6,1,13,56
1,0,5,0,1,1,0,0,0,2,1,3,56
6,0,2,1,0,1,0,0,0,2,0,6,53
3,0,4,0,1,1,0,0,0,3,1,11,50
6,0,3,1,0,0,1,0,0,1,1,3,27
7,1,1,1,0,0,1,0,0,2,1,6,37
5,1,4,0,1,1,0,0,0,1,1,4,56
4,0,3,0,0,1,0,0,0,5,0,12,71
2,0,5,0,1,1,0,0,0,2,0,3,78
7,1,2,0,0,1,0,0,0,2,1,5,30
7,1,2,1,0,1,0,0,0,3,1,3,40
3,1,4,0,0,0,0,0,0,5,1,11,36
5,1,5,0,0,1,0,0,0,2,1,3,37
3,1,5,0,0,1,0,0,0,2,1,3,28
5,1,2,1,0,0,0,0,0,5,1,11,36
4,0,3,0,0,1,0,0,0,2,1,3,57
5,0,2,0,0,0,0,0,0,6,0,1,76
7,0,3,1,0,1,0,0,0,3,1,10,51
5,0,2,1,0,0,1,0,0,3,0,4,57
4,0,4,1,0,0,1,0,0,2,0,2,38
7,0,3,1,0,1,0,0,0,2,1,2,68
4,0,3,0,1,1,0,0,0,1,1,2,28
7,0,2,1,0,1,0,0,0,3,1,2,53
4,0,3,0,1,1,0,0,0,5,1,3,27
5,0,4,0,0,1,0,0,0,1,1,5,60
5,1,5,1,0,0,0,1,0,1,1,1,27
3,1,4,0,0,1,0,0,0,3,0,10,32
7,0,3,1,0,1,0,0,0,3,1,2,73
2,0,4,0,0,0,0,0,0,4,0,4,48
3,0,4,0,0,0,0,1,0,5,0,5,36
6,1,2,1,0,1,0,0,0,2,0,5,59
4,0,5,0,1,1,0,0,0,3,0,2,61
3,0,4,1,0,0,1,0,0,2,0,1,54
4,0,4,1,0,0,1,0,0,2,0,1,38
3,1,5,0,1,1,0,0,0,3,0,13,21
6,1,3,1,0,1,0,0,0,5,0,6,34
7,1,1,1,0,0,0,0,0,3,1,5,36
4,0,4,0,0,0,0,0,0,5,1,4,64
7,1,2,1,0,0,1,0,0,4,1,6,53
5,0,3,0,0,1,0,0,0,2,1,6,58
4,1,5,0,1,1,0,0,0,1,1,3,50
7,0,1,0,0,0,0,0,0,3,0,5,44
3,0,4,0,1,1,0,0,0,3,1,2,54
3,0,5,1,0,1,0,0,1,2,1,1,57
5,0,3,0,1,0,0,1,0,2,0,4,55
5,0,5,0,1,1,0,0,0,3,1,7,36
7,0,2,1,0,0,1,0,0,4,1,7,66
5,0,5,0,1,1,0,0,0,1,1,5,66
7,1,2,1,0,0,1,0,0,4,1,3,39
4,1,3,1,0,0,1,0,0,2,1,8,64
4,1,4,0,0,1,0,0,0,2,1,6,39
5,1,4,0,1,1,0,0,0,5,1,9,42
4,0,5,0,1,0,0,1,0,2,1,6,40
5,0,2,0,0,1,0,0,0,5,1,7,66
7,0,2,0,1,1,0,0,0,3,1,3,25
6,0,2,1,0,1,0,0,0,5,1,5,32
1,0,2,0,1,0,0,0,0,3,1,5,30
4,0,5,0,0,1,0,0,0,2,1,3,61
6,0,2,0,1,1,0,0,0,5,0,9,64
6,0,2,0,0,0,1,0,0,5,1,8,51
7,0,1,1,0,0,1,0,0,3,1,2,59
5,1,3,0,1,1,0,0,0,3,1,3,27
5,0,3,0,0,1,0,0,0,3,1,2,58
5,1,1,1,0,1,0,0,0,3,1,4,19
4,1,3,0,1,1,0,0,0,6,1,10,49
4,1,2,1,0,1,0,0,0,6,1,11,31
6,1,2,1,0,0,1,0,0,2,1,1,19
7,0,2,0,0,0,0,0,0,5,0,2,48
6,0,4,0,0,1,0,0,0,5,1,10,37
4,1,1,1,0,0,0,0,0,5,1,3,31
6,1,2,0,0,1,0,0,0,6,0,12,33
5,1,4,0,1,1,0,0,0,3,1,12,52
5,0,2,1,0,1,0,0,0,3,1,2,38
5,0,3,0,1,1,0,0,0,2,1,8,52
4,0,3,0,1,0,1,0,0,5,1,3,58
5,1,3,1,0,0,1,0,0,4,1,2,57
7,0,1,1,0,1,0,0,0,5,0,7,69
1,0,5,0,1,1,0,0,0,3,1,2,70
5,1,4,0,0,1,0,0,0,6,1,13,44
6,1,1,0,0,1,0,0,0,6,0,11,72
6,0,3,0,0,1,0,0,0,3,0,2,56
4,1,3,0,1,1,0,0,0,6,0,13,43
4,1,5,0,1,1,0,0,0,3,1,8,63
4,1,3,1,0,0,1,0,0,3,1,1,52
6,0,2,0,1,1,0,0,0,5,1,12,65
5,1,2,0,1,1,0,0,0,4,1,9,27
7,1,1,0,0,1,0,0,0,3,1,3,24
4,0,5,0,1,1,0,0,0,4,1,11,59
7,0,1,1,0,1,0,0,0,4,1,4,69
1,0,5,0,0,0,0,1,0,3,0,10,27
4,0,2,1,0,1,0,0,0,2,0,5,67
3,1,4,0,1,0,1,0,0,3,1,2,35
5,0,3,0,0,1,0,0,0,5,1,2,56
7,0,1,1,0,1,0,0,0,3,1,2,46
7,0,4,0,0,1,0,0,0,2,1,4,21
1,1,5,1,0,1,0,0,0,3,0,1,58
7,1,1,1,0,1,0,0,0,6,0,5,57
